,0,product ID,category ID
0,"Móvil - Xiaomi Redmi Note 12 Pro 5G, Azul, 256 GB, 8 GB RAM, 6.67 AMOLED FHD+ 120Hz, MediaTek Dimensity 1080 2,6 Ghz, 5000 mAh, Android",18,3
1,"Portátil - Lenovo IdeaPad 1 15ALC7, 15.6 FullHD, AMD Ryzen™ 5 5500U, 16GB RAM, 512GB SSD, Radeon™ Onboard Graphics, Windows 11 Home",19,2
2,"Lavavajillas - DF455HSS con Vapor, 14 servicios, 10 programas, 60 cm,LED táctil, Tercera bandeja, Truesteam™, QuadWash™, Acero antihuellas",23,4
3,"TV OLED 77 - OLED77C35LA, OLED 4K, Inteligente α9 4K Gen6, Smart TV, DVB-T2 (H.265), Negro",24,1
4,"Centro de planchado - Philips PSG6022/20, 2400 W, Depósito de 1,8 L, 6.5 bares, SteamGlide Plus, Blanco/Azul",25,5
5,"Secador - Dyson Supersonic™ Origin, 1600 W, 3 Velocidades, Incluye Boquilla concentradora, Negro/ Níquel",26,6
6,"Smartwatch - Samsung Galaxy Watch6 BT 44mm, 1.47, Exynos W930, 16GB, 2GB RAM, 425mAh, Grafito",27,8
7,"Bicicleta eléctrica - Youin You Ride Texas, 250 W, 25km/h, 20 , Suspensión frontal, Pantalla LCD, Negro",28,9
8,"Auriculares inalámbricos - Sony WH-CH720NB, Cancelación ruido (Noise Cancelling), 35h, Carga Rápida, Con Asistente, Bluetooth, De Diadema, ANC, Negro",29,11
9,"Disco duro SSD interno 1TB - WD_Black SN850 NVMe SSD para consolas PS5™, Con licencia oficial, 7000MB/s, Negro",30,10
10,PS5 Grand Theft Auto V,20,7
11,"Cámara EVIL - Canon EOS M50 Mark II 15-45, Con objetivo EF-M 15-45 mm IS STM, 24.1 MP, 4K, Montura EF-M, Negro",21,12
12,"Cámara de seguridad - Ezviz TY1 4MP, WQHD 2560 x 1440, WiFi, Visión nocturna, Two-way audio, Interior, Blanco",22,13
