,0,product ID,category ID
0,"iPhone 14, Blanco estrella, 128 GB, 5G, 6.1"" OLED Super Retina XDR, Chip A15 Bionic, iOS",31,3
1,"All in one - 24-cb1005ns, 23.8"" Full HD, Intel® Core™ i3-1215U, 8GB RAM, 512GB SSD, W11 H, Blanco",32,2
2,"Placa inducción - Balay 3EB967FRE, 3 zonas, 32 cm, Negro",36,4
3,"TV LED 50"" - Xiaomi TV A2, UHD 4K, Smart TV, HDR10, Dolby Vision, Dolby Audio™, DTS-HD®, Inmersive Limitless Unibody, Negro",37,1
4,"Aspirador escoba - Dyson v11™ Fluffy, Potencia 185 W, Incluye accesorios, Autonomía 60 min, Plata",38,5
5,"Afeitadora - Braun Series 5 51-R1200s, 3 Cuchillas, Afeitadora eléctrica para barba, EasyClean, Wet & Dry, Rojo",39,6
6,"Apple Watch Series 9 (2023), GPS, 41 mm, Gesto de doble toque, Caja de aluminio blanco estrella, Correa deportiva blanco estrella, Talla S/M",40,8
7,"Patinete eléctrico - Xiaomi Electric Scooter 4, Vel. 25 km/hm, Autonomía 35 km, Batería 7650mAh, Pantalla, Bluetooth, Negro",41,9
8,"Altavoz de gran potencia - Vieta Pro Party 2, 100W, Hasta 9hs, Efecto de luces, FM, Karoake, Negro",42,11
9,"Auriculares gaming - Razer Barracuda X, Micrófono extraíble, Cancelación de ruido pasiva, Bluetooth 5.2, Negro",43,10
10,Nintendo Switch Sonic Superstars,33,7
11,"Cámara Bridge - Panasonic Lumix FZ300, 26-600 mm f/2.8, Vídeo en 4K, Wi-Fi, Negro",34,12
12,"Cámara de vigilancia IP - TP-Link Tapo C320WS, 2K QHD, Sensor Nocturno, IP66, Control por voz, Blanco",35,13
